
uid,i__start_size,i__cons_marry_allow_thr,i__cons_marry_chance,d__incident_rate,c__gen_count,c__min_offspring,c__max_offspring,c__min_gen_grow,c__max_gen_grow,c__death_age,c__min_marry_age,c__max_marry_age,c__gene_healthy_weight,c__gene_trait_weight,c__gene_affect_weight,s__stop_marry_prop,s__cons_marry_prop,s__die_dis_count,s__die_age_count,s__stop_marry_count,s__offspring_count,s__cons_marry_count,s__marry_count,s__end_size,s__end_kid_count,s__end_senior_count,s__end_male_unmarry_count,s__end_female_unmarry_count,s__end_male_marry_count,s__end_female_marry_count
b000_r000_p000,1000,0,0,0.01441768689178887,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0,0.0,643,10753,0,44598,0,14895,34202,15014,5,144,0,9489,9550
b000_r000_p001,1000,0,0.2,0.01474604041507373,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0,0.1054002541296061,702,11525,0,47606,1659,15740,36379,16172,8,240,0,9914,10045
b000_r000_p002,1000,0,0.4,0.015528201805887355,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0,0.19084665410563423,767,11740,0,49394,3140,16453,37887,16651,0,0,65,10540,10631
b000_r000_p003,1000,0,0.6,0.01381297823710623,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0,0.2666826548354218,695,11769,0,50315,4448,16679,38851,17249,0,0,13,10843,10746
b000_r000_p004,1000,0,0.8,0.015373501591529901,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0,0.33282003213711836,681,10860,0,44297,4971,14936,33756,14743,0,0,1,9559,9453
b000_r000_p005,1000,2,0,0.014684531463890156,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0003125,0.0,708,11480,5,48214,0,16000,37026,16257,0,247,0,10297,10225
b000_r000_p006,1000,2,0.2,0.013672468423108642,11,0,6,16,19,80,18,60,0.8,0.2,0,0.00013080444735120994,0.10032701111837802,630,11196,2,46078,1534,15290,35252,15640,2,219,0,9649,9742
b000_r000_p007,1000,2,0.4,0.012721193835113756,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0004897759275131628,0.18893106403820253,624,11746,8,49052,3086,16334,37682,16698,0,0,61,10419,10504
b000_r000_p008,1000,2,0.6,0.013603854071605933,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0005089058524173028,0.2578880407124682,641,11547,8,47119,4054,15720,35931,15904,0,134,0,9941,9952
b000_r000_p009,1000,2,0.8,0.014073214474100643,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0003153380423814329,0.3281407669021191,667,11672,5,47395,5203,15856,36056,15984,0,32,0,10030,10010
b000_r000_p010,1000,3,0,0.012913575295769,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0013272200772200772,0.0,644,11722,22,49870,0,16576,38504,16914,0,0,160,10720,10710
b000_r000_p011,1000,3,0.2,0.012353407620716999,11,0,6,16,19,80,18,60,0.8,0.2,0,0.20496427228281308,0.0,592,11372,3270,47922,0,15954,36958,16390,1,27,0,10242,10298
b000_r000_p012,1000,3,0.4,0.015593788259552805,11,0,6,16,19,80,18,60,0.8,0.2,0,0.395226821933585,0.0,726,11392,6177,46557,0,15629,35439,15553,0,0,20,9930,9936
b000_r000_p013,1000,3,0.6,0.014462559165014766,11,0,6,16,19,80,18,60,0.8,0.2,0,0.6321522550639496,0.0,715,11736,10330,49438,0,16341,37987,16853,0,188,0,10513,10433
b000_r000_p014,1000,3,0.8,0.014042017536244466,11,0,6,16,19,80,18,60,0.8,0.2,0,0.8296098482381293,0.0,647,10801,12737,46076,0,15353,35628,15699,0,0,24,9922,9983
b000_r000_p015,1000,4,0,0.01556802916906544,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0031082839381234638,0.0,649,10405,43,41688,0,13834,31634,14138,12,167,0,8588,8729
b000_r000_p016,1000,4,0.2,0.014772384684956286,11,0,6,16,19,80,18,60,0.8,0.2,0,0.20914755883598524,0.0,735,11643,3457,49755,0,16529,38377,16886,0,75,0,10705,10711
b000_r000_p017,1000,4,0.4,0.01259467099850214,11,0,6,16,19,80,18,60,0.8,0.2,0,0.41152447195456576,0.0,597,11127,6449,47401,0,15671,36677,16443,3,0,11,10091,10129
b000_r000_p018,1000,4,0.6,0.014353959168957592,11,0,6,16,19,80,18,60,0.8,0.2,0,0.6476670023497818,0.0,637,10882,9647,44378,0,14895,33859,14564,0,0,375,9462,9458
b000_r000_p019,1000,4,0.8,0.014928817000853734,11,0,6,16,19,80,18,60,0.8,0.2,0,0.8575975643509549,0.0,647,10691,12394,43339,0,14452,33001,14583,6,193,0,9030,9189
b000_r000_p020,4000,0,0,0.012441093308199811,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0,0.0,2310,44662,0,185675,0,62105,142703,63051,0,0,103,39821,39728
